Location	Insurgent
Algeria_PROPN	GIA_PROPN
Algeria_PROPN	Armed::Islamic::Group_PROPN
Angola_PROPN	FLEC_PROPN
Burundi_PROPN	palipehutu-fnl_PROPN
Burundi_PROPN	CNDD_PROPN
Burundi_PROPN	FLN_PROPN
Cambodia_PROPN	Khmer::Rouge_PROPN
Cambodia_PROPN	FUNCINPEC_PROPN
Colombia_PROPN	ELN_PROPN
Colombia_PROPN	FARC_PROPN
Comoros_PROPN	Anjouan_PROPN
Congo_PROPN	Cobras_PROPN
Congo_PROPN	Alliance::of::Democratic::Forces::for::the::Liberation::of::Congo-Zaire_PROPN
Egypt_PROPN	Jamaa::Islamiyya_PROPN
India_PROPN	Kashmir::Liberation::Front_PROPN
India_PROPN	NLFT_PROPN
India_PROPN	People::'s::War::Group_PROPN
India_PROPN	NDFB_PROPN
India_PROPN	ULFA_PROPN
India_PROPN	NSCN_PROPN
Indonesia_PROPN	Fretilin_PROPN
Iran_PROPN	MKO_PROPN
Israel_PROPN	Hezbollah_PROPN
Myanmar_PROPN	Karen::National::Union_PROPN
Myanmar_PROPN	UWSA_PROPN
Nepal_PROPN	CPN-M_PROPN
Philippines_PROPN	Communist::Party::of::the::Philippines_PROPN
Philippines_PROPN	Abu::Sayyaf_PROPN
Philippines_PROPN	Moro::Islamic::Liberation::Front_PROPN
Rwanda_PROPN	Interahamwe_PROPN
Senegal_PROPN	MFDC_PROPN
Sierra::Leone_PROPN	AFRC_PROPN
Sierra::Leone_PROPN	Kamajors_PROPN
Sierra::Leone_PROPN	Revolutionary::United::Front_PROPN
Sri::Lanka_PROPN	LTTE_PROPN
Sudan_PROPN	National::Democratic::Alliance_PROPN
Sudan_PROPN	Sudan::People::'s::Liberation::Army_PROPN
Turkey_PROPN	PKK_PROPN
Uganda_PROPN	Allied::Democratic::Forces_PROPN
Uganda_PROPN	Lord::'s::Resistance::Army_PROPN
Uganda_PROPN	UNRF_PROPN
Zaire_PROPN	Alliance::of::Democratic::Forces::for::the::Liberation::of::Congo-Zaire_PROPN
